accession_number,technology,assembly
"OP682173.1","Illumina","bwa v. 0.7.17"
"OP682172.1","Illumina","bwa v. 0.7.17"
"OP682171.1","Illumina","bwa v. 0.7.17"
"OP682170.1","Illumina","bwa v. 0.7.17"
"OP682169.1","Illumina","bwa v. 0.7.17"
"OP682168.1","Illumina","bwa v. 0.7.17"
"OP682167.1","Illumina","bwa v. 0.7.17"
"OP682166.1","Illumina","bwa v. 0.7.17"
"OP682165.1","Illumina","bwa v. 0.7.17"
"OP682164.1","Illumina","bwa v. 0.7.17"
"OP682163.1","Illumina","bwa v. 0.7.17"
"OP682162.1","Illumina","bwa v. 0.7.17"
"OP682161.1","Illumina","bwa v. 0.7.17"
"OP682160.1","Illumina","bwa v. 0.7.17"
"OP682159.1","Illumina","bwa v. 0.7.17"
"OP682158.1","Illumina","bwa v. 0.7.17"
"JX128057.1","NA","NA"
"JX128056.1","NA","NA"
"JX128055.1","NA","NA"
"JX128054.1","NA","NA"
"JX128053.1","NA","NA"
"JX128052.1","NA","NA"
"JX128051.1","NA","NA"
"JX128050.1","NA","NA"
"JX128049.1","NA","NA"
"JX128048.1","NA","NA"
"JX128047.1","NA","NA"
"JX128046.1","NA","NA"
"JX128045.1","NA","NA"
"JX128044.1","NA","NA"
"JX128043.1","NA","NA"
"JX128042.1","NA","NA"
"JX128041.1","NA","NA"
"MG738729.1","NA","NA"
"MG592700.1","NA","NA"
"MG744607.1","NA","NA"
"MG748729.1","NA","NA"
"MG744605.1","NA","NA"
"MG748728.1","NA","NA"
"MG744604.1","NA","NA"
"MG744603.1","NA","NA"
"MG744602.1","NA","NA"
"MG709055.1","NA","NA"
"MG709130.1","NA","NA"
"MG709139.1","NA","NA"
"MG709132.1","NA","NA"
"MG687433.1","NA","NA"
"MG687434.1","NA","NA"
"MG701013.1","NA","NA"
"MG706974.1","NA","NA"
"MG700523.1","NA","NA"
"MG706447.1","NA","NA"
"MG700693.1","NA","NA"
"MG712580.1","NA","NA"
"MG709149.1","NA","NA"
"MG712510.1","NA","NA"
"MG571221.1","Illumina","BWA v. 0.5.10"
"MG571220.1","Illumina","BWA v. 0.5.10"
"MG571219.1","Illumina","BWA v. 0.5.10"
"MG571218.1","Illumina","BWA v. 0.5.10"
"MG571217.1","Illumina","BWA v. 0.5.10"
"MG571216.1","Illumina","BWA v. 0.5.10"
"MG571215.1","Illumina","BWA v. 0.5.10"
"MG571214.1","Illumina","BWA v. 0.5.10"
"MG571213.1","Illumina","BWA v. 0.5.10"
"MG571212.1","Illumina","BWA v. 0.5.10"
"MG571211.1","Illumina","BWA v. 0.5.10"
"MG571210.1","Illumina","BWA v. 0.5.10"
"MG571209.1","Illumina","BWA v. 0.5.10"
"MG571208.1","Illumina","BWA v. 0.5.10"
"MG571207.1","Illumina","BWA v. 0.5.10"
"MG571206.1","Illumina","BWA v. 0.5.10"
"MG571205.1","Illumina","BWA v. 0.5.10"
"MG571204.1","Illumina","BWA v. 0.5.10"
"MG571203.1","Illumina","BWA v. 0.5.10"
"MG571202.1","Illumina","BWA v. 0.5.10"
"MG571201.1","Illumina","BWA v. 0.5.10"
"MG571200.1","Illumina","BWA v. 0.5.10"
"MG571199.1","Illumina","BWA v. 0.5.10"
"MG571198.1","Illumina","BWA v. 0.5.10"
"MG571197.1","Illumina","BWA v. 0.5.10"
"MG571196.1","Illumina","BWA v. 0.5.10"
"MG571195.1","Illumina","BWA v. 0.5.10"
"MG571194.1","Illumina","BWA v. 0.5.10"
"MG571193.1","Illumina","BWA v. 0.5.10"
"MG571192.1","Illumina","BWA v. 0.5.10"
"MG571191.1","Illumina","BWA v. 0.5.10"
"MG571190.1","Illumina","BWA v. 0.5.10"
"MG571189.1","Illumina","BWA v. 0.5.10"
"MG571188.1","Illumina","BWA v. 0.5.10"
"MG571187.1","Illumina","BWA v. 0.5.10"
"MG571186.1","Illumina","BWA v. 0.5.10"
"MG571185.1","Illumina","BWA v. 0.5.10"
"MG571184.1","Illumina","BWA v. 0.5.10"
"MG571183.1","Illumina","BWA v. 0.5.10"
"MG571182.1","Illumina","BWA v. 0.5.10"
"MG571181.1","Illumina","BWA v. 0.5.10"
"MG571180.1","Illumina","BWA v. 0.5.10"
"MG571179.1","Illumina","BWA v. 0.5.10"
"MG571178.1","Illumina","BWA v. 0.5.10"
"MG571177.1","Illumina","BWA v. 0.5.10"
"MG571176.1","Illumina","BWA v. 0.5.10"
"MG571175.1","Illumina","BWA v. 0.5.10"
"MG571174.1","Illumina","BWA v. 0.5.10"
"MG571173.1","Illumina","BWA v. 0.5.10"
"MG571172.1","Illumina","BWA v. 0.5.10"
"MG571171.1","Illumina","BWA v. 0.5.10"
"MG571170.1","Illumina","BWA v. 0.5.10"
"MG571169.1","Illumina","BWA v. 0.5.10"
"MG571168.1","Illumina","BWA v. 0.5.10"
"MG571167.1","Illumina","BWA v. 0.5.10"
"MG571166.1","Illumina","BWA v. 0.5.10"
"MG571165.1","Illumina","BWA v. 0.5.10"
"MG571164.1","Illumina","BWA v. 0.5.10"
"MG571163.1","Illumina","BWA v. 0.5.10"
"MG571162.1","Illumina","BWA v. 0.5.10"
"MG571161.1","Illumina","BWA v. 0.5.10"
"MG571160.1","Illumina","BWA v. 0.5.10"
"MG571159.1","Illumina","BWA v. 0.5.10"
"MG571158.1","Illumina","BWA v. 0.5.10"
"MG571157.1","Illumina","BWA v. 0.5.10"
"MG571156.1","Illumina","BWA v. 0.5.10"
"MG571155.1","Illumina","BWA v. 0.5.10"
"MG571154.1","Illumina","BWA v. 0.5.10"
"MG571153.1","Illumina","BWA v. 0.5.10"
"MG571152.1","Illumina","BWA v. 0.5.10"
"MG571151.1","Illumina","BWA v. 0.5.10"
"MG571150.1","Illumina","BWA v. 0.5.10"
"MG571149.1","Illumina","BWA v. 0.5.10"
"MG571148.1","Illumina","BWA v. 0.5.10"
"MG571147.1","Illumina","BWA v. 0.5.10"
"MG571146.1","Illumina","BWA v. 0.5.10"
"MG571145.1","Illumina","BWA v. 0.5.10"
"MG571144.1","Illumina","BWA v. 0.5.10"
"MG571143.1","Illumina","BWA v. 0.5.10"
"MG571142.1","Illumina","BWA v. 0.5.10"
"MG571141.1","Illumina","BWA v. 0.5.10"
"MG571140.1","Illumina","BWA v. 0.5.10"
"MG571139.1","Illumina","BWA v. 0.5.10"
"MG571138.1","Illumina","BWA v. 0.5.10"
"MG571137.1","Illumina","BWA v. 0.5.10"
"MG571136.1","Illumina","BWA v. 0.5.10"
"MG571135.1","Illumina","BWA v. 0.5.10"
"MG571134.1","Illumina","BWA v. 0.5.10"
"MG571133.1","Illumina","BWA v. 0.5.10"
"MG571132.1","Illumina","BWA v. 0.5.10"
"MG571131.1","Illumina","BWA v. 0.5.10"
"MG571130.1","Illumina","BWA v. 0.5.10"
"MG571129.1","Illumina","BWA v. 0.5.10"
"MG571128.1","Illumina","BWA v. 0.5.10"
"MG571127.1","Illumina","BWA v. 0.5.10"
"MG571126.1","Illumina","BWA v. 0.5.10"
"MG571125.1","Illumina","BWA v. 0.5.10"
"MG571124.1","Illumina","BWA v. 0.5.10"
"MG571123.1","Illumina","BWA v. 0.5.10"
"MG571122.1","Illumina","BWA v. 0.5.10"
"MG571121.1","Illumina","BWA v. 0.5.10"
"MG571120.1","Illumina","BWA v. 0.5.10"
"MG571119.1","Illumina","BWA v. 0.5.10"
"MG571118.1","Illumina","BWA v. 0.5.10"
"MG571117.1","Illumina","BWA v. 0.5.10"
"MG571116.1","Illumina","BWA v. 0.5.10"
"MG571115.1","Illumina","BWA v. 0.5.10"
"MG571114.1","Illumina","BWA v. 0.5.10"
"MG571113.1","Illumina","BWA v. 0.5.10"
"MG571112.1","Illumina","BWA v. 0.5.10"
"MG571111.1","Illumina","BWA v. 0.5.10"
"MG571110.1","Illumina","BWA v. 0.5.10"
"MG571109.1","Illumina","BWA v. 0.5.10"
"MG571108.1","Illumina","BWA v. 0.5.10"
"MG571107.1","Illumina","BWA v. 0.5.10"
"MG571106.1","Illumina","BWA v. 0.5.10"
"MG571105.1","Illumina","BWA v. 0.5.10"
"MG571104.1","Illumina","BWA v. 0.5.10"
"MG668999.1","NA","NA"
"MG670545.1","NA","NA"
"MG670110.1","NA","NA"
"MG678791.1","NA","NA"
"MG669471.1","NA","NA"
"MG669470.1","NA","NA"
"MG665387.1","NA","NA"
"MG182042.1","Illumina","BWA v. 0.7.8"
"MG182041.1","Illumina","BWA v. 0.7.8"
"MG182040.1","Illumina","BWA v. 0.7.8"
"MG182039.1","Illumina","BWA v. 0.7.8"
"MG182038.1","Illumina","BWA v. 0.7.8"
"MG182037.1","Illumina","BWA v. 0.7.8"
"MG182036.1","Illumina","BWA v. 0.7.8"
"MG182035.1","Illumina","BWA v. 0.7.8"
"MG182034.1","Illumina","BWA v. 0.7.8"
"MG182033.1","Illumina","BWA v. 0.7.8"
"MG182032.1","Illumina","BWA v. 0.7.8"
"MG182031.1","Illumina","BWA v. 0.7.8"
"MG182030.1","Illumina","BWA v. 0.7.8"
"MG182029.1","Illumina","BWA v. 0.7.8"
"MG182028.1","Illumina","BWA v. 0.7.8"
"MG182027.1","Illumina","BWA v. 0.7.8"
"MG182026.1","Illumina","BWA v. 0.7.8"
"MG182025.1","Illumina","BWA v. 0.7.8"
"MG182024.1","Illumina","BWA v. 0.7.8"
"MG386502.1","Sanger dideoxy sequencing","NA"
"MG649088.1","NA","NA"
"MG427079.1","NA","NA"
"MG322268.1","NA","NA"
"MG597495.1","NA","NA"
"MG609036.1","NA","NA"
"MG649085.1","NA","NA"
"MG649089.1","NA","NA"
"MG649084.1","NA","NA"
"MG649086.1","NA","NA"
"MG609037.1","NA","NA"
"MG609035.1","NA","NA"
"MG595757.1","NA","NA"
"MG597492.1","NA","NA"
"MG597233.1","NA","NA"
"MG597496.1","NA","NA"
"OP682157.1","Illumina","bwa v. 0.7.17"
"OP682156.1","Illumina","bwa v. 0.7.17"
"OP682155.1","Illumina","bwa v. 0.7.17"
"OP682154.1","Illumina","bwa v. 0.7.17"
"OP682153.1","Illumina","bwa v. 0.7.17"
"OP682152.1","Illumina","bwa v. 0.7.17"
"OP682151.1","Illumina","bwa v. 0.7.17"
"OP682150.1","Illumina","bwa v. 0.7.17"
"OP682149.1","Illumina","bwa v. 0.7.17"
"OP682148.1","Illumina","bwa v. 0.7.17"
"OP682147.1","Illumina","bwa v. 0.7.17"
"OP682146.1","Illumina","bwa v. 0.7.17"
"OP682145.1","Illumina","bwa v. 0.7.17"
"OP682144.1","Illumina","bwa v. 0.7.17"
"OP682143.1","Illumina","bwa v. 0.7.17"
"OP682142.1","Illumina","bwa v. 0.7.17"
"OP682141.1","Illumina","bwa v. 0.7.17"
"OP682140.1","Illumina","bwa v. 0.7.17"
"OP682139.1","Illumina","bwa v. 0.7.17"
"OP682138.1","Illumina","bwa v. 0.7.17"
"MG592718.1","NA","NA"
"MG586888.1","NA","NA"
"MG583844.1","NA","NA"
"MG592732.1","NA","NA"
"MG496253.1","NA","NA"
"MF043520.1","NA","NA"
"MF043519.1","NA","NA"
"MF043518.1","NA","NA"
"MF043517.1","NA","NA"
"MF043516.1","NA","NA"
"MF043515.1","NA","NA"
"MF043514.1","NA","NA"
"MF043513.1","NA","NA"
"MF043512.1","NA","NA"
"MF043511.1","NA","NA"
"MF043510.1","NA","NA"
"MF043509.1","NA","NA"
"MF043508.1","NA","NA"
"MF043507.1","NA","NA"
"MF043506.1","NA","NA"
"MF043505.1","NA","NA"
"MF043504.1","NA","NA"
"MF043503.1","NA","NA"
"MF043502.1","NA","NA"
"MF043501.1","NA","NA"
"MF043500.1","NA","NA"
"MF043499.1","NA","NA"
"MF043498.1","NA","NA"
"MF043497.1","NA","NA"
"MF043496.1","NA","NA"
"MF043495.1","NA","NA"
"MF043494.1","NA","NA"
"MF043493.1","NA","NA"
"MF043492.1","NA","NA"
"MF043491.1","NA","NA"
"MF043490.1","NA","NA"
"MF043489.1","NA","NA"
"MF043488.1","NA","NA"
"MF043487.1","NA","NA"
"MF043486.1","NA","NA"
"MF043485.1","NA","NA"
"MF043484.1","NA","NA"
"MF043483.1","NA","NA"
"MF043482.1","NA","NA"
"MF043481.1","NA","NA"
"MF043480.1","NA","NA"
"MF043479.1","NA","NA"
"MF043478.1","NA","NA"
"MF043477.1","NA","NA"
"MF043476.1","NA","NA"
"MF043475.1","NA","NA"
"MF043474.1","NA","NA"
"MF043473.1","NA","NA"
"MF043472.1","NA","NA"
"MF043471.1","NA","NA"
"MF043470.1","NA","NA"
"MF043469.1","NA","NA"
"MF043468.1","NA","NA"
"MF043467.1","NA","NA"
"MF043466.1","NA","NA"
"MF043465.1","NA","NA"
"MF043464.1","NA","NA"
"MF043463.1","NA","NA"
"MF043462.1","NA","NA"
"MF043461.1","NA","NA"
"MF043460.1","NA","NA"
"MF043459.1","NA","NA"
"MF043458.1","NA","NA"
"MF043457.1","NA","NA"
"MF043456.1","NA","NA"
"MF043455.1","NA","NA"
"MF043454.1","NA","NA"
"MF043453.1","NA","NA"
"MF043452.1","NA","NA"
"MF043451.1","NA","NA"
"MF043450.1","NA","NA"
"MF043449.1","NA","NA"
"MF043448.1","NA","NA"
"MF043447.1","NA","NA"
"MF043446.1","NA","NA"
"MF043445.1","NA","NA"
"MF043444.1","NA","NA"
"MF043443.1","NA","NA"
"MF043442.1","NA","NA"
"MF043441.1","NA","NA"
"MF043440.1","NA","NA"
"MF043439.1","NA","NA"
"MF043438.1","NA","NA"
"MF043437.1","NA","NA"
"MF043436.1","NA","NA"
"MF043435.1","NA","NA"
"MF043434.1","NA","NA"
"MF043433.1","NA","NA"
"MF043432.1","NA","NA"
"MF043431.1","NA","NA"
"MF043430.1","NA","NA"
"MF043429.1","NA","NA"
"MF043428.1","NA","NA"
"MF043427.1","NA","NA"
"MF043426.1","NA","NA"
"MF043425.1","NA","NA"
"MF043424.1","NA","NA"
"MG551929.1","NA","NA"
"MG551928.1","NA","NA"
"MG592713.1","NA","NA"
"MG592706.1","NA","NA"
"MG551914.1","NA","NA"
"MG551913.1","NA","NA"
"MG586887.1","NA","NA"
"MG586886.1","NA","NA"
"MG592719.1","NA","NA"
"MG551912.1","NA","NA"
"MG551911.1","NA","NA"
"MG561401.1","NA","NA"
"MG586885.1","NA","NA"
"MG182423.1","NA","NA"
"MG520372.1","NA","NA"
"MG436773.1","NA","NA"
"MG548632.1","NA","NA"
"MG496254.1","NA","NA"
"MG518521.1","NA","NA"
"MG546004.1","NA","NA"
"MG496256.1","NA","NA"
"MG517557.1","NA","NA"
"MG457776.1","NA","NA"
"MG518475.1","NA","NA"
"MG436774.1","NA","NA"
"MG548630.1","NA","NA"
"MG548631.1","NA","NA"
"MG546008.1","NA","NA"
"MG488279.1","NA","NA"
"MG496255.1","NA","NA"
"MF114223.1","Illumina","BWA v. 0.6.29"
"MF114222.1","Illumina","BWA v. 0.6.29"
"MF114221.1","Illumina","BWA v. 0.6.29"
"MF114220.1","Illumina","BWA v. 0.6.29"
"MF114213.1","Illumina","BWA v. 0.6.29"
"J01415.2","NA","NA"
"MG373785.1","NA","NA"
"MG423619.1","NA","NA"
"MG257946.1","NA","NA"
"MG334286.1","NA","NA"
"MG322267.1","NA","NA"
"MG257947.1","NA","NA"
"MG423620.1","NA","NA"
"MG230113.1","NA","NA"
"MG386697.1","NA","NA"
"MG334263.1","NA","NA"
"MG322249.1","NA","NA"
"MG386698.1","NA","NA"
"KY645943.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645942.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645941.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645940.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645939.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645938.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645937.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645936.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645935.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645934.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645933.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645932.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645931.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645930.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645929.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645928.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645927.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645926.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645925.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645924.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645923.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645922.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645921.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645920.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645919.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645918.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645917.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645916.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645915.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645914.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645913.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645912.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645911.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645910.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645909.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645908.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645907.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645906.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645905.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645904.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645903.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645902.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645901.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645900.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645899.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645898.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645897.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645896.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645895.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645894.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"OP682137.1","Illumina","bwa v. 0.7.17"
"OP682136.1","Illumina","bwa v. 0.7.17"
"OP682135.1","Illumina","bwa v. 0.7.17"
"OP682134.1","Illumina","bwa v. 0.7.17"
"OP682133.1","Illumina","bwa v. 0.7.17"
"OP682132.1","Illumina","bwa v. 0.7.17"
"OP682131.1","Illumina","bwa v. 0.7.17"
"OP682130.1","Illumina","bwa v. 0.7.17"
"OP682129.1","Illumina","bwa v. 0.7.17"
"OP682128.1","Illumina","bwa v. 0.7.17"
"OP682127.1","Illumina","bwa v. 0.7.17"
"OP682126.1","Illumina","bwa v. 0.7.17"
"OP682125.1","Illumina","bwa v. 0.7.17"
"OP682124.1","Illumina","bwa v. 0.7.17"
"OP682123.1","Illumina","bwa v. 0.7.17"
"OP682122.1","Illumina","bwa v. 0.7.17"
"OP682121.1","Illumina","bwa v. 0.7.17"
"OP682120.1","Illumina","bwa v. 0.7.17"
"OP682119.1","Illumina","bwa v. 0.7.17"
"OP682118.1","Illumina","bwa v. 0.7.17"
"KY645893.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645892.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645891.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645890.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645889.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645888.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645887.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645886.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645885.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645884.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645883.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645882.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645881.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645880.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645879.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645878.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645877.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645876.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645875.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645874.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645873.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645872.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645871.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645870.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645869.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645868.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645867.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645866.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645865.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645864.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645863.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645862.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645861.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645860.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645859.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645858.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645857.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645856.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645855.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645854.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645853.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645852.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645851.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645850.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645849.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645848.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645847.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645846.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645845.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645844.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645843.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645842.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645841.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645840.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645839.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645838.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645837.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645836.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645835.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645834.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645833.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645832.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645831.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645830.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645829.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645828.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645827.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645826.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645825.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645824.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645823.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645822.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645821.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645820.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645819.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645818.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645817.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645816.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645815.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645814.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645813.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645812.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645811.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645810.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645809.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645808.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
"KY645807.1","Illumina","Mapping Iterative Assembler v. MIA v. 1"
