accession_number,technology,assembly
"KM047218.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047217.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047216.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047215.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047214.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047213.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047212.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047211.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047210.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047209.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047208.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047207.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047206.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047205.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047204.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047203.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047202.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047201.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047200.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047199.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047198.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047197.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047196.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047195.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047194.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047193.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047192.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047191.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047190.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047189.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
"KM047188.1","454; Sanger dideoxy sequencing","SeqScape v. 2.5; GS Reference Mapper v."
