motif,profiles
M33a1a,
M33a1b,
M33a2'3,
M33a2,
M33a2a,
M33a3,
M33a3a,
M33+16362,
M33b,
M33b1,
M33b2,
M33c,HG00457
M33d,
M34'57,
M34,
M34a,
M34a1,
M34a1a,
M34a2,
M34b,
M57,
M57+152,
M57a,
M57b,
M57b1,
M35,
M35+199,
M35a,
M35a1,
M35a1a,
M35a2,
M35b,
M35b+16304,
M35b1,
M35b2,
M35b3,
M35b4,
M35c,
M36,
M36a,
M36b,
M36c,
M36d,
M36d1,
M39'70,
M39,
M39a,
M39a1,
M39a2,
M39b,
M39b1,
M39b2,
M39c,
M70,
M40,
M40a,
M40a1,
M40a1a,
M40a1b,
M42'74,
M42,
M42a,
M42b,
M42b1,
M42b1a,
M42b2,
M74,
M74a,
M74b,
M74b1,
M74b2,
M44,
M44a,
M44a1,
M47,
M48,
M49,
M49a,
M49a1,
M49a2,
M49c,
M49c1,
M49d,
M49e,
M49e1,
M50,
M50a,
M50a1,
M50a2,
M52,
M52a,
M52a1,
M52a1a,
M52a1b,
M52a1b1,
M52b,
M52b1,
M52b1a,
M55'77,
M55,
M77,
M58,
M59,
M60,
M60a,
M60a1,
M60a2,
M60b,
M62'68,
M62,
M62a,
M62b,
M62b+204,
M62b1,
M62b1a,
M62b1a1,
M62b2,
M68,
M68a,
M68a1,
M68a1a,
M68a2,
M68a2a,
M69,
M69a,
M71,
M71+151,
M71a,
M71a1,
M71a1a,
M71a2,
M71b,
M71c,
M72,
M72a,
M73'79,
M73,
M73a,
M73a1,
M73b,
M79,
M76,
M76a,
M81,
M91,
M91a,
M91b,
M80'D,
M80,
D,
D4,
D1,NA19759 NA19719
D1a,
D1a1,
D1a2,
D1b,
D1c,
D1d,
D1d1,
D1d2,NA19716
D1e,
D1f,
D1f1,
D1f2,HG01441
D1f+16189,
D1f3,
D1g,
D1g1,
D1g1a,
D1g1b,
D1g+16189,
D1g2,
D1g2a,
D1g5,
D1g3,
D1g4,
D1g6,
D1h,
D1h1,NA19661
D1h2,NA19728
D1i,
D1i1,NA19747
D1i2,NA19741
D1j,
D1j1,
D1j1a,
D1j1a1,
D1j1a2,
D1k,NA19755
D1m,
D1n,
D4a,NA18648 NA18565
D4a1,NA19572 NA19565
D4a1a,
D4a1a1,NA19556 NA18995
D4a1a1a,NA19546
D4a1b,
D4a1b1,
D4a1c,NA18992
D4a1d,
D4a1e,
D4a1e1,
D4a1f,
D4a1f1,
D4a1g,
D4a1h,
D4a2,
D4a2a,
D4a2b,
D4a3,
D4a3a,
D4a3a1,
D4a3a2,
D4a3b,NA18981
D4a3b1,
D4a3b2,
D4a+16294,
D4a4,
D4a5,
D4a6,
D4a7,
D4a8,NA18591
D4b,
D4b1,
D4b1a,
D4b1a1,NA19086
D4b1a1a,
D4b1a2,
D4b1a2a,NA18535
D4b1a2a1,
D4b1a2a2,
D4b1b'd,
D4b1b,
D4b1b1,
D4b1b1a,
D4b1b1a1,NA19085 NA19056 NA18993
D4b1b2,
D4b1d,NA18789
D4b1c,
