accession,seq_tech,geo_origin
NA20797,Illumina,"Toscani, Italy"
NA20758,Illumina,"Toscani, Italy"
NA20759,Illumina,"Toscani, Italy"
NA20760,Illumina,"Toscani, Italy"
NA20819,Illumina,"Toscani, Italy"
NA20816,Illumina,NA
NA20815,Illumina,"Toscani, Italy"
NA20826,Illumina,"Toscani, Italy"
NA19107,Illumina,"Ibadan, Nigeria"
NA19256,Illumina,"Ibadan, Nigeria"
NA11933,Illumina,"Utah, USA"
NA12046,Illumina,"Utah, USA"
NA12282,Illumina,"Utah, USA"
NA12283,Illumina,"Utah, USA"
NA12286,Illumina,"Utah, USA"
NA12748,Illumina,"Utah, USA"
NA12843,Illumina,"Utah, USA"
NA12889,Illumina,"Utah, USA"
NA12890,Illumina,"Utah, USA"
NA20507,Illumina,"Toscani, Italy"
NA20503,Illumina,"Toscani, Italy"
NA20514,Illumina,"Toscani, Italy"
NA12827,Illumina,"Utah, USA"
NA12829,Illumina,"Utah, USA"
NA12830,Illumina,"Utah, USA"
NA12842,Illumina,"Utah, USA"
NA11930,Illumina,"Utah, USA"
NA11932,Illumina,"Utah, USA"
NA18632,Illumina,"Beijing, China"
NA18624,Illumina,"Beijing, China"
NA18633,Illumina,"Beijing, China"
NA18611,Illumina,"Beijing, China"
NA18612,Illumina,"Beijing, China"
NA18620,Illumina,"Beijing, China"
NA18621,Illumina,"Beijing, China"
NA18622,Illumina,"Beijing, China"
NA18636,Illumina,"Beijing, China"
NA18623,Illumina,"Beijing, China"
NA19443,Illumina,"Webuye, Kenya"
NA19462,Illumina,"Webuye, Kenya"
NA19429,Illumina,"Webuye, Kenya"
NA19438,Illumina,"Webuye, Kenya"
NA19437,Illumina,"Webuye, Kenya"
NA19313,Illumina,NA
NA19440,Illumina,"Webuye, Kenya"
NA19439,Illumina,"Webuye, Kenya"
NA19436,Illumina,"Webuye, Kenya"
NA19467,Illumina,"Webuye, Kenya"
NA19311,Illumina,NA
NA19451,Illumina,"Webuye, Kenya"
NA19463,Illumina,"Webuye, Kenya"
NA19457,Illumina,"Webuye, Kenya"
NA19445,Illumina,"Webuye, Kenya"
NA19435,Illumina,"Webuye, Kenya"
NA19466,Illumina,"Webuye, Kenya"
NA19452,Illumina,"Webuye, Kenya"
NA19469,Illumina,NA
NA19446,Illumina,"Webuye, Kenya"
NA19448,Illumina,"Webuye, Kenya"
NA19449,Illumina,"Webuye, Kenya"
NA19455,Illumina,"Webuye, Kenya"
NA19083,Illumina,"Tokyo, Japan"
NA18977,Illumina,"Tokyo, Japan"
NA18987,Illumina,"Tokyo, Japan"
NA19010,Illumina,"Tokyo, Japan"
NA19002,Illumina,"Tokyo, Japan"
NA19084,Illumina,"Tokyo, Japan"
NA19079,Illumina,"Tokyo, Japan"
NA18991,Illumina,"Tokyo, Japan"
NA19077,Illumina,"Tokyo, Japan"
NA19078,Illumina,"Tokyo, Japan"
NA18963,Illumina,"Tokyo, Japan"
NA19076,Illumina,"Tokyo, Japan"
NA19075,Illumina,"Tokyo, Japan"
NA19074,Illumina,"Tokyo, Japan"
NA19009,Illumina,"Tokyo, Japan"
NA19085,Illumina,"Tokyo, Japan"
NA18990,Illumina,"Tokyo, Japan"
NA19072,Illumina,"Tokyo, Japan"
NA18615,Illumina,"Beijing, China"
NA18616,Illumina,"Beijing, China"
NA18619,Illumina,"Beijing, China"
NA18631,Illumina,"Beijing, China"
NA18617,Illumina,"Beijing, China"
NA18627,Illumina,"Beijing, China"
NA18626,Illumina,"Beijing, China"
NA18628,Illumina,"Beijing, China"
NA18618,Illumina,"Beijing, China"
NA18630,Illumina,"Beijing, China"
NA18614,Illumina,"Beijing, China"
NA12275,Illumina,"Utah, USA"
NA19355,Illumina,"Webuye, Kenya"
NA19359,Illumina,NA
NA19360,Illumina,"Webuye, Kenya"
NA19371,Illumina,NA
NA19372,Illumina,"Webuye, Kenya"
NA19375,Illumina,"Webuye, Kenya"
NA19376,Illumina,"Webuye, Kenya"
NA19377,Illumina,"Webuye, Kenya"
NA19379,Illumina,"Webuye, Kenya"
NA19381,Illumina,NA
NA19382,Illumina,NA
NA19383,Illumina,"Webuye, Kenya"
NA19384,Illumina,"Webuye, Kenya"
